BetheCoefs,NameCoefs,Numbering
1,k_p,0
1,k_alpha,1
0.7,p_end (input),2
0.56,p,3
0.6,r (Input),4
0.466667,p_A,5
0.7,p_B,6
1,alpha (Input),7
0.428571,R_A,8
1,Q_A,9
1,Q_B,10
0,mu,11
0,nu,12
0,xi,13
0,mu (m^-3),14
0,nu (m^-3),15
0,xi (m^-3),16
40000,M_A,17
10000,M_B,18
90,c_tot,19
0,N_A,20
0.0036,N_B,21
0.0027,N_C,22
8,f_A,23
2,f_B,24
0.0063,N_tot,25
90,c_out,26
0,c_net,27
0,N_A8,28
0,N_A7,29
0,N_A6,30
0,N_A5,31
0,N_A4,32
0,N_A3,33
0,N_A2,34
0,N_A1,35
0,N_A0,36
0,N_B8,37
0,N_B7,38
0,N_B6,39
0,N_B5,40
0,N_B4,41
0,N_B3,42
0,N_B2,43
0,N_B1,44
0.0036,N_B0,45
0,N_C4,46
0,N_C3,47
0,N_C2,48
0,N_C1,49
0.0027,N_C0,50
