alpha,t,c_out,mu,nu,xi,Q,p_end,k_alpha,s,f_A,f_B
0.0,-0.0,25.765351666517542,0.0001493999308406336,0.00024057595072634377,9.117601988571018e-05,3.204361439,0.7114364386543957,1.1204312021584264,0.7,8.0,2.0
0.001,0.0008929600779201309,25.822455283488633,0.00014888955367165535,0.0002397292758697388,9.083972219808346e-05,3.2070254953749906,0.7114364386543957,1.1204312021584264,0.7,8.0,2.0
0.002,0.0017868144575199012,25.879646754361385,0.00014837984936553824,0.0002388838482362781,9.050399887073986e-05,3.2096956137150667,0.7114364386543957,1.1204312021584264,0.7,8.0,2.0
0.003,0.0026815649318858346,25.93692628541948,0.00014787081907289458,0.00023803966939654444,9.016885032364985e-05,3.212371817400848,0.7114364386543957,1.1204312021584264,0.7,8.0,2.0
0.004,0.003577213299502611,25.9942940836188,0.00014736246394558375,0.00023719674092229965,8.98342769767159e-05,3.215054129941669,0.7114364386543957,1.1204312021584264,0.7,8.0,2.0
0.005,0.004473761364274756,26.0517503565898,0.00014685478513671362,0.00023635506438648515,8.950027924977153e-05,3.217742574976475,0.7114364386543957,1.1204312021584264,0.7,8.0,2.0
0.006,0.005371210935548437,26.109295312640718,0.00014634778380063284,0.00023551464136320756,8.916685756257472e-05,3.220437176274794,0.7114364386543957,1.1204312021584264,0.7,8.0,2.0
0.007,0.0062695638281333775,26.16692916076002,0.00014584146109293203,0.00023467547342773877,8.883401233480674e-05,3.2231379577376456,0.7114364386543957,1.1204312021584264,0.7,8.0,2.0
0.008,0.007168821862324873,26.224652110619758,0.00014533581817043498,0.00023383756215650123,8.850174398606625e-05,3.2258449433985077,0.7114364386543957,1.1204312021584264,0.7,8.0,2.0
0.009000000000000001,0.00806898686392592,26.282464372578108,0.00014483085619119832,0.00023300090912706375,8.817005293586543e-05,3.228558157424292,0.7114364386543957,1.1204312021584264,0.7,8.0,2.0
0.01,0.008970060664269466,26.340366157682222,0.00014432657631450872,0.0002321655159181378,8.783893960362908e-05,3.231277624116258,0.7114364386543957,1.1204312021584264,0.7,8.0,2.0
0.011,0.009872045100240751,26.39835767767144,0.0001438229797008758,0.00023133138410956218,8.750840440868636e-05,3.234003367911058,0.7114364386543957,1.1204312021584264,0.7,8.0,2.0
0.012,0.010774942014299788,26.456439144979875,0.0001433200675120319,0.00023049851528230217,8.717844777027025e-05,3.2367354133816706,0.7114364386543957,1.1204312021584264,0.7,8.0,2.0
0.013000000000000001,0.011678753254503937,26.514610772739562,0.0001428178409109263,0.00022966691101843832,8.684907010751201e-05,3.2394737852384203,0.7114364386543957,1.1204312021584264,0.7,8.0,2.0
0.014,0.0125834806745306,26.572872774783544,0.00014231630106171974,0.0002288365729011561,8.652027183943636e-05,3.2422185083299784,0.7114364386543957,1.1204312021584264,0.7,8.0,2.0
0.015,0.013489126133700041,26.631225365648287,0.00014181544912978628,0.0002280075025147469,8.619205338496061e-05,3.244969607644357,0.7114364386543957,1.1204312021584264,0.7,8.0,2.0
0.016,0.014395691496998302,26.689668760577305,0.00014131528628170305,0.0002271797014445901,8.586441516288704e-05,3.2477271083099533,0.7114364386543957,1.1204312021584264,0.7,8.0,2.0
0.017,0.015303178635100246,26.748203175523905,0.00014081581368524836,0.0002263531712771481,8.553735759189975e-05,3.2504910355965775,0.7114364386543957,1.1204312021584264,0.7,8.0,2.0
0.018000000000000002,0.01621158942439273,26.8068288271539,0.00014031703250940122,0.0002255279135999644,8.521088109056317e-05,3.253261414916465,0.7114364386543957,1.1204312021584264,0.7,8.0,2.0
0.019,0.01712092574699788,26.865545932849244,0.00013981894392433057,0.00022470393000164414,8.488498607731358e-05,3.2560382718253655,0.7114364386543957,1.1204312021584264,0.7,8.0,2.0
0.02,0.018031189490796462,26.924354710710745,0.00013932154910139486,0.0002238812220718516,8.455967297045673e-05,3.258821632023591,0.7114364386543957,1.1204312021584264,0.7,8.0,2.0
0.021,0.01894238254945145,26.98325537956074,0.00013882484921314141,0.00022305979140130845,8.423494218816704e-05,3.261611521357039,0.7114364386543957,1.1204312021584264,0.7,8.0,2.0
0.022,0.019854506822431617,27.042248158947064,0.00013832884543329364,0.0002222396395817702,8.391079414847655e-05,3.2644079658183522,0.7114364386543957,1.1204312021584264,0.7,8.0,2.0
0.023,0.02076756421503531,27.101333269145375,0.0001378335389367535,0.00022142076820602993,8.358722926927643e-05,3.2672109915479335,0.7114364386543957,1.1204312021584264,0.7,8.0,2.0
0.024,0.021681556638414336,27.16051093116274,0.00013733893089959344,0.00022060317886790206,8.326424796830861e-05,3.270020624835098,0.7114364386543957,1.1204312021584264,0.7,8.0,2.0
0.025,0.022596486009597953,27.219781366740378,0.00013684502249905494,0.0002197868731622198,8.294185066316486e-05,3.2728368921191398,0.7114364386543957,1.1204312021584264,0.7,8.0,2.0
