alpha,t,c_out,mu,nu,xi,Q,p_end,k_alpha,s,f_A,f_B
0.0,-0.0,28.734317446990005,0.00012170703153295679,0.00019468988089523553,7.298284936227874e-05,3.204,0.7,0.828,0.7,8.0,2.0
0.001,0.001208333736211998,28.795780335519193,0.0001212485868482667,0.00019393690005748486,7.268831320921816e-05,3.2068010564622056,0.7,0.828,0.7,8.0,2.0
0.002,0.0024178776215858446,28.857337899840832,0.00012079085344947845,0.00019318520013591686,7.239434668643841e-05,3.209608862270534,0.7,0.828,0.7,8.0,2.0
0.003,0.0036286340824863822,28.91899036293253,0.00012033383242332725,0.00019243478257312767,7.210095014980042e-05,3.2124234451320635,0.7,0.828,0.7,8.0,2.0
0.004,0.004840605552583119,28.980737948500416,0.00011987752485724705,0.00019168564881204625,7.18081239547992e-05,3.215244832916687,0.7,0.828,0.7,8.0,2.0
0.005,0.0060537944728795735,29.042580880982456,0.0001194219318393615,0.00019093780029591829,7.151586845655679e-05,3.2180730536583826,0.7,0.828,0.7,8.0,2.0
0.006,0.007268203291742779,29.104519385551306,0.00011896705445847904,0.0001901912384682972,7.122418400981816e-05,3.2209081355564724,0.7,0.828,0.7,8.0,2.0
0.007,0.008483834464932932,29.16655368811762,0.00011851289380408483,0.00018944596477303035,7.093307096894552e-05,3.2237501069768895,0.7,0.828,0.7,8.0,2.0
0.008,0.009700690455633173,29.228684015333194,0.00011805945096633288,0.0001887019806542447,7.064252968791182e-05,3.2265989964534905,0.7,0.828,0.7,8.0,2.0
0.009000000000000001,0.010918773734479555,29.290910594593583,0.00011760672703604378,0.0001879592875563427,7.035256052029891e-05,3.22945483268931,0.7,0.828,0.7,8.0,2.0
0.01,0.012138086779591125,29.3532336540421,0.00011715472310469026,0.00018721788692397734,7.006316381928708e-05,3.2323176445579342,0.7,0.828,0.7,8.0,2.0
0.011,0.01335863207660018,29.415653422572277,0.0001167034402643962,0.0001864777802020495,6.97743399376533e-05,3.235187461104783,0.7,0.828,0.7,8.0,2.0
0.012,0.014580412118682669,29.478170129831277,0.00011625287960792691,0.00018573896883569184,6.948608922776493e-05,3.2380643115484555,0.7,0.828,0.7,8.0,2.0
0.013000000000000001,0.015803429406588746,29.540784006223145,0.00011580304222868222,0.0001850014542702555,6.919841204157329e-05,3.2409482252820956,0.7,0.828,0.7,8.0,2.0
0.014,0.017027686448673487,29.603495282911982,0.0001153539292206885,0.00018426523795129728,6.891130873060878e-05,3.2438392318747438,0.7,0.828,0.7,8.0,2.0
